Date,Open,High,Low,Close,Volume
04/30/19,1930.10,1935.71,1906.95,1926.52,3506007
04/29/19,1949.00,1956.335,1934.09,1938.43,4021255
04/26/19,1929.00,1951.00,1898.00,1950.63,8432563
04/25/19,1917.0035,1922.45,1900.31,1902.25,6099101
04/24/19,1925.00,1929.6899,1898.16,1901.75,3675781
04/23/19,1891.20,1929.26,1889.58,1923.77,4640441
04/22/19,1855.40,1888.42,1845.64,1887.31,3373807
04/18/19,1868.79,1870.82,1859.48,1861.69,2749882
04/17/19,1872.99,1876.473,1860.44,1864.82,2893517
04/16/19,1851.35,1869.77,1848.00,1863.04,3044618
04/15/19,1842.00,1846.85,1818.90,1844.87,3724423
04/12/19,1848.40,1851.50,1841.30,1843.06,3114413
04/11/19,1848.70,1849.95,1840.31,1844.07,2654842
04/10/19,1841.00,1848.00,1828.81,1847.33,2963973
04/09/19,1845.49,1853.09,1831.78,1835.84,3714368
04/08/19,1833.23,1850.20,1825.11,1849.86,3752841
04/05/19,1829.00,1838.58,1825.19,1837.28,3640476
04/04/19,1820.65,1828.75,1804.20,1818.86,3623867
04/03/19,1826.72,1830.00,1809.62,1820.70,3980590
04/02/19,1811.02,1820.00,1805.121,1813.98,3448115
04/01/19,1800.11,1815.67,1798.73,1814.19,4238752
03/29/19,1786.58,1792.86,1776.63,1780.75,3320793
03/28/19,1770.00,1777.93,1753.47,1773.42,3042958
03/27/19,1784.13,1787.50,1745.68,1765.70,4324801
03/26/19,1793.00,1805.77,1773.3598,1783.76,4865880
03/25/19,1757.79,1782.6751,1747.50,1774.26,5103803
03/22/19,1810.17,1818.98,1763.11,1764.77,6362983
03/21/19,1796.26,1823.75,1787.281,1819.26,5767797
03/20/19,1769.94,1799.50,1767.0338,1797.27,6265633
03/19/19,1753.51,1784.16,1753.51,1761.85,6364161
03/18/19,1712.70,1750.00,1712.63,1742.15,5429058
03/15/19,1703.00,1718.80,1693.13,1712.36,7550870
03/14/19,1691.20,1702.00,1684.34,1686.22,2946618
03/13/19,1683.00,1700.00,1679.35,1690.81,3552041
03/12/19,1669.00,1684.265,1660.98,1673.10,3614498
03/11/19,1626.12,1672.285,1626.01,1670.62,3876352
03/08/19,1604.01,1622.72,1586.57,1620.80,4667014
03/07/19,1667.37,1669.7534,1620.51,1625.95,4957017
03/06/19,1695.97,1697.75,1668.28,1668.95,3996001
03/05/19,1702.95,1707.80,1689.01,1692.43,3681522
03/04/19,1685.00,1709.43,1674.36,1696.17,6167358
03/01/19,1655.13,1674.26,1651.00,1671.73,4974877
02/28/19,1635.25,1651.77,1633.83,1639.83,3025891
02/27/19,1628.18,1641.81,1615.10,1641.09,3148824
02/26/19,1625.98,1639.99,1616.1335,1636.40,2665815
02/25/19,1641.45,1654.60,1630.3873,1633.00,3184462
02/22/19,1623.50,1634.94,1621.17,1631.56,3096191
02/21/19,1619.85,1623.56,1600.91,1619.44,3483392
02/20/19,1630.00,1634.93,1610.12,1622.10,3337589
02/19/19,1601.00,1634.00,1600.56,1627.58,3681656
02/15/19,1627.86,1628.9099,1604.50,1607.95,4343893
02/14/19,1624.50,1637.90,1606.061,1622.65,4120524
02/13/19,1647.00,1656.38,1637.1063,1640.00,3560321
02/12/19,1604.00,1639.395,1598.88,1638.01,4858604
02/11/19,1600.98,1609.29,1586.00,1591.00,3317328
02/08/19,1586.00,1588.59,1566.756,1588.22,5657457
02/07/19,1625.00,1625.5389,1592.91,1614.37,4626589
02/06/19,1670.75,1672.26,1633.34,1640.26,3939883
02/05/19,1643.34,1665.26,1642.50,1658.81,4453105
02/04/19,1623.00,1649.63,1613.50,1633.31,4929187
02/01/19,1638.88,1673.06,1622.01,1626.23,11506213
01/31/19,1692.85,1736.411,1679.0821,1718.73,10910338
01/30/19,1623.00,1676.95,1619.68,1670.43,5783822
01/29/19,1631.27,1632.38,1590.72,1593.88,4632782
01/28/19,1643.59,1645.00,1614.09,1637.89,4837711
01/25/19,1670.50,1683.48,1661.6122,1670.57,4959679
01/24/19,1641.07,1657.2572,1631.7847,1654.93,4089943
01/23/19,1656.00,1657.43,1612.00,1640.02,5225212
01/22/19,1681.00,1681.8668,1610.20,1632.17,6416796
01/18/19,1712.00,1716.20,1691.54,1696.20,6020503
01/17/19,1680.00,1700.17,1677.50,1693.22,4208875
01/16/19,1684.22,1705.00,1675.8787,1683.78,6366864
01/15/19,1632.00,1675.16,1626.01,1674.56,5998510
01/14/19,1615.00,1648.20,1595.15,1617.21,6005888
01/11/19,1640.55,1660.294,1636.22,1640.56,4686222
01/10/19,1641.01,1663.25,1621.615,1656.22,6507693
01/09/19,1652.98,1667.7989,1641.3953,1659.42,6348801
01/08/19,1664.69,1676.61,1616.61,1656.58,8881428
01/07/19,1602.31,1634.56,1589.185,1629.51,7993213
01/04/19,1530.00,1594.00,1518.3101,1575.39,9182575
01/03/19,1520.01,1538.00,1497.11,1500.28,6975572
01/02/19,1465.20,1553.36,1460.93,1539.13,7983103
12/31/18,1510.80,1520.76,1487.00,1501.97,6954507
12/28/18,1473.35,1513.47,1449.00,1478.02,8828950
12/27/18,1454.20,1469.00,1390.31,1461.64,9722034
12/26/18,1368.89,1473.1567,1363.01,1470.90,10411801
12/24/18,1346.00,1396.03,1307.00,1343.96,7219996
12/21/18,1464.99,1480.00,1363.96,1377.45,13640320
12/20/18,1484.00,1509.50,1432.69,1460.83,9991833
12/19/18,1543.05,1584.53,1483.18,1495.08,8792189
12/18/18,1540.00,1567.55,1523.01,1551.48,6522975
12/17/18,1566.00,1576.13,1505.01,1520.91,8829762
12/14/18,1638.00,1642.57,1585.00,1591.91,6367163
12/13/18,1680.00,1692.12,1641.50,1658.38,5271162
12/12/18,1669.00,1704.99,1660.27,1663.54,6597968
12/11/18,1678.00,1679.4684,1619.60,1643.24,6244695
12/10/18,1623.84,1657.99,1590.87,1641.03,7494808
12/07/18,1705.07,1718.9262,1625.46,1629.13,7576132
12/06/18,1614.87,1701.05,1609.85,1699.19,8789394
12/04/18,1756.00,1770.3382,1665.00,1668.40,8694455
12/03/18,1769.46,1778.34,1730.00,1772.36,6862160
11/30/18,1679.50,1696.00,1666.50,1690.17,5761761
11/29/18,1674.99,1689.99,1652.331,1673.57,6613243
11/28/18,1613.92,1681.45,1601.215,1677.75,8458738
11/27/18,1575.99,1597.65,1558.01,1581.42,5783227
11/26/18,1539.00,1584.81,1524.22,1581.33,6257716
11/23/18,1517.00,1536.20,1501.81,1502.06,2707642
11/21/18,1542.99,1550.00,1515.00,1516.73,5716800
11/20/18,1437.50,1534.75,1420.00,1495.46,10878823
11/19/18,1577.01,1581.19,1503.36,1512.29,7789981
11/16/18,1587.50,1614.48,1573.12,1593.41,6066080
11/15/18,1581.01,1624.82,1546.51,1619.44,8427337
11/14/18,1656.32,1672.9952,1597.07,1599.01,6486891
11/13/18,1649.29,1677.0638,1613.75,1631.17,5933271
11/12/18,1698.24,1708.55,1630.01,1636.85,6806245
11/09/18,1732.50,1743.9206,1701.87,1712.43,5902186
11/08/18,1755.00,1784.00,1725.11,1754.91,6534866
11/07/18,1673.00,1759.23,1664.075,1755.49,8192234
11/06/18,1618.35,1665.00,1614.55,1642.81,4257353
11/05/18,1657.57,1658.09,1596.36,1627.80,5624727
11/02/18,1678.59,1697.44,1651.83,1665.53,6955548
11/01/18,1623.53,1670.4465,1598.44,1665.53,8135539
10/31/18,1569.99,1623.91,1565.09,1598.01,9390211
10/30/18,1486.16,1540.99,1476.36,1530.42,12460086
10/29/18,1660.00,1665.7383,1495.00,1538.88,13866077
10/26/18,1649.59,1698.46,1603.00,1642.81,14963783
10/25/18,1703.34,1794.81,1692.0101,1782.17,10285742
10/24/18,1773.70,1777.7099,1656.56,1664.20,6928383
10/23/18,1742.24,1776.34,1714.00,1768.70,6723913
10/22/18,1784.00,1809.4999,1756.00,1789.30,4500015
10/19/18,1785.16,1809.10,1753.00,1764.03,5907246
10/18/18,1821.49,1830.15,1767.87,1770.72,5873995
10/17/18,1842.79,1845.00,1807.00,1831.73,5295177
10/16/18,1783.50,1823.88,1761.55,1819.96,5859918
10/15/18,1795.00,1795.05,1734.23,1760.95,6437162
10/12/18,1808.00,1808.95,1742.53,1788.61,9444587
10/11/18,1724.00,1755.40,1685.10,1719.36,13935872
10/10/18,1857.89,1858.56,1754.41,1755.25,10988855
10/09/18,1859.99,1896.6759,1852.32,1870.32,4772866
10/08/18,1874.00,1901.9962,1830.6627,1864.42,7393199
10/05/18,1917.99,1929.08,1862.83,1889.65,6822327
10/04/18,1949.00,1956.00,1896.57,1909.42,7256973
10/03/18,1981.70,1989.70,1949.81,1952.76,5253131
10/02/18,1999.99,2013.39,1965.77,1971.31,5400749
10/01/18,2021.99,2033.19,2003.60,2004.36,3468285
09/28/18,2004.41,2026.52,1996.4648,2003.00,4085135
09/27/18,1993.2365,2016.1564,1988.58,2012.98,4329391
09/26/18,1968.50,1995.25,1961.52,1974.85,4313459
09/25/18,1942.90,1975.91,1938.85,1974.55,4538407
09/24/18,1903.79,1936.88,1865.00,1934.36,4213728
09/21/18,1954.22,1957.31,1910.5011,1915.01,6855898
09/20/18,1938.58,1955.00,1932.25,1944.30,3154934
09/19/18,1940.50,1940.83,1904.90,1926.42,4056822
09/18/18,1918.65,1958.20,1915.4391,1941.05,4268706
09/17/18,1954.73,1956.82,1887.41,1908.03,7050192
09/14/18,1992.93,1993.648,1959.22,1970.19,3642030
09/13/18,2000.00,2008.76,1982.0277,1989.87,3621511
09/12/18,1994.00,2000.00,1962.44,1990.00,4414012
09/11/18,1928.27,1988.88,1917.00,1987.15,5033645
09/10/18,1971.00,1973.04,1931.5158,1939.01,4544831
09/07/18,1938.71,1975.20,1937.35,1952.07,4892643
09/06/18,2006.505,2007.50,1935.209,1958.31,7488680
